Contrast,Duration,Spread,PixelEnergy,PixelEnergy_mean,SpectralEnergy,NormalizedSpectralEnergy
0.018,0.05,5,489317.40846,5.22574019031142,45817724858.5605,0.00153117741759128
0.018,0.05,10,489317.40846,5.22574019031142,45817724858.5605,0.00153117741759128
0.018,0.05,15,489317.40846,5.22574019031142,45817724858.5605,0.00153117741759128
0.018,0.05,20,489317.40846,5.22574019031142,45817724858.5605,0.00153117741759128
0.018,0.05,25,489317.40846,5.22574019031142,45817724858.5605,0.00153117741759128
0.018,0.05,30,489317.40846,5.22574019031142,45817724858.5605,0.00153117741759128
0.018,0.05,35,489317.40846,5.22574019031142,45817724858.5605,0.00153117741759128
0.018,0.05,40,489317.40846,5.22574019031142,45817724858.5605,0.00153117741759128
0.018,0.05,45,489317.40846,5.22574019031142,45817724858.5605,0.00153117741759128
0.018,0.05,50,489317.40846,5.22574019031142,45817724858.5606,0.00153117741759128
0.018,0.08,5,733978.725588,5.22575879354094,103090247923.737,0.00344516145404414
0.018,0.08,10,733978.725588,5.22575879354094,103090247923.737,0.00344516145404414
0.018,0.08,15,733978.725588,5.22575879354094,103090247923.737,0.00344516145404413
0.018,0.08,20,733978.725588,5.22575879354095,103090247923.737,0.00344516145404413
0.018,0.08,25,733978.725588,5.22575879354094,103090247923.737,0.00344516145404413
0.018,0.08,30,733978.725588,5.22575879354095,103090247923.737,0.00344516145404413
0.018,0.08,35,733978.725588,5.22575879354094,103090247923.737,0.00344516145404413
0.018,0.08,40,733978.725588,5.22575879354094,103090247923.737,0.00344516145404413
0.018,0.08,45,733978.725588,5.22575879354095,103090247923.737,0.00344516145404413
0.018,0.08,50,733978.725588,5.22575879354095,103090247923.737,0.00344516145404414
0.018,0.09,5,856309.384152,5.22576410874938,140317424615.299,0.00468925230418486
0.018,0.09,10,856309.384152,5.22576410874938,140317424615.299,0.00468925230418486
0.018,0.09,15,856309.384152,5.22576410874938,140317424615.299,0.00468925230418486
0.018,0.09,20,856309.384152,5.22576410874938,140317424615.299,0.00468925230418486
0.018,0.09,25,856309.384152,5.22576410874938,140317424615.299,0.00468925230418486
0.018,0.09,30,856309.384152,5.22576410874938,140317424615.299,0.00468925230418486
0.018,0.09,35,856309.384152,5.22576410874938,140317424615.299,0.00468925230418486
0.018,0.09,40,856309.384152,5.22576410874938,140317424615.299,0.00468925230418486
0.018,0.09,45,856309.384152,5.22576410874938,140317424615.299,0.00468925230418486
0.018,0.09,50,856309.384152,5.22576410874938,140317424615.299,0.00468925230418486
0.018,0.1,5,978640.042716,5.22576809515571,183271878079.511,0.00612474237560179
0.018,0.1,10,978640.042716,5.22576809515571,183271878079.511,0.00612474237560179
0.018,0.1,15,978640.042716,5.22576809515571,183271878079.511,0.00612474237560179
0.018,0.1,20,978640.042716,5.22576809515571,183271878079.511,0.00612474237560179
0.018,0.1,25,978640.042716,5.22576809515571,183271878079.511,0.00612474237560179
0.018,0.1,30,978640.042716,5.22576809515571,183271878079.511,0.00612474237560179
0.018,0.1,35,978640.042716,5.22576809515571,183271878079.511,0.00612474237560179
0.018,0.1,40,978640.042716,5.22576809515571,183271878079.511,0.0061247423756018
0.018,0.1,45,978640.042716,5.22576809515571,183271878079.511,0.00612474237560179
0.018,0.1,50,978640.042716,5.22576809515571,183271878079.511,0.00612474237560179
0.018,0.12,5,1100970.70128,5.22577119569396,231953608316.372,0.00775163166829493
0.018,0.12,10,1100970.70128,5.22577119569396,231953608316.371,0.00775163166829492
0.018,0.12,15,1100970.70128,5.22577119569396,231953608316.371,0.00775163166829492
0.018,0.12,20,1100970.70128,5.22577119569396,231953608316.372,0.00775163166829493
0.018,0.12,25,1100970.70128,5.22577119569396,231953608316.372,0.00775163166829493
0.018,0.12,30,1100970.70128,5.22577119569396,231953608316.372,0.00775163166829493
0.018,0.12,35,1100970.70128,5.22577119569396,231953608316.372,0.00775163166829492
0.018,0.12,40,1100970.70128,5.22577119569396,231953608316.371,0.00775163166829492
0.018,0.12,45,1100970.70128,5.22577119569396,231953608316.371,0.00775163166829492
0.018,0.12,50,1100970.70128,5.22577119569396,231953608316.372,0.00775163166829492
0.018,0.15,5,1467962.676972,5.22577739677047,412362459662.85,0.0137806948740315
0.018,0.15,10,1467962.676972,5.22577739677047,412362459662.85,0.0137806948740315
0.018,0.15,15,1467962.676972,5.22577739677047,412362459662.85,0.0137806948740315
0.018,0.15,20,1467962.676972,5.22577739677047,412362459662.85,0.0137806948740315
0.018,0.15,25,1467962.676972,5.22577739677047,412362459662.85,0.0137806948740315
0.018,0.15,30,1467962.676972,5.22577739677047,412362459662.85,0.0137806948740315
0.018,0.15,35,1467962.676972,5.22577739677047,412362459662.85,0.0137806948740315
0.018,0.15,40,1467962.676972,5.22577739677047,412362459662.85,0.0137806948740315
0.018,0.15,45,1467962.676972,5.22577739677047,412362459662.85,0.0137806948740315
0.018,0.15,50,1467962.676972,5.22577739677047,412362459662.85,0.0137806948740315
0.018,0.18,5,1712623.9941,5.22578005437469,561271411090.416,0.0187570664509036
0.018,0.18,10,1712623.9941,5.22578005437469,561271411090.416,0.0187570664509036
0.018,0.18,15,1712623.9941,5.22578005437469,561271411090.416,0.0187570664509036
0.018,0.18,20,1712623.9941,5.22578005437469,561271411090.416,0.0187570664509036
0.018,0.18,25,1712623.9941,5.22578005437469,561271411090.416,0.0187570664509036
0.018,0.18,30,1712623.9941,5.22578005437469,561271411090.416,0.0187570664509036
0.018,0.18,35,1712623.9941,5.22578005437469,561271411090.416,0.0187570664509036
0.018,0.18,40,1712623.9941,5.22578005437469,561271411090.416,0.0187570664509036
0.018,0.18,45,1712623.9941,5.22578005437469,561271411090.417,0.0187570664509036
0.018,0.18,50,1712623.9941,5.22578005437469,561271411090.416,0.0187570664509036
0.018,0.2,5,1834954.652664,5.22578111741638,644316801963.173,0.0215323510712539
0.018,0.2,10,1834954.652664,5.22578111741638,644316801963.173,0.021532351071254
0.018,0.2,15,1834954.652664,5.22578111741638,644316801963.173,0.021532351071254
0.018,0.2,20,1834954.652664,5.22578111741638,644316801963.173,0.021532351071254
0.018,0.2,25,1834954.652664,5.22578111741638,644316801963.173,0.0215323510712539
0.018,0.2,30,1834954.652664,5.22578111741638,644316801963.173,0.0215323510712539
0.018,0.2,35,1834954.652664,5.22578111741638,644316801963.173,0.021532351071254
0.018,0.2,40,1834954.652664,5.22578111741638,644316801963.173,0.021532351071254
0.018,0.2,45,1834954.652664,5.22578111741638,644316801963.173,0.0215323510712539
0.018,0.2,50,1834954.652664,5.22578111741638,644316801963.173,0.021532351071254
0.018,0.25,5,2324277.28692,5.22578425059188,1033771133180.69,0.0345474817654173
0.018,0.25,10,2324277.28692,5.22578425059188,1033771133180.7,0.0345474817654174
0.018,0.25,15,2324277.28692,5.22578425059188,1033771133180.69,0.0345474817654173
0.018,0.25,20,2324277.28692,5.22578425059188,1033771133180.69,0.0345474817654173
0.018,0.25,25,2324277.28692,5.22578425059188,1033771133180.69,0.0345474817654173
0.018,0.25,30,2324277.28692,5.22578425059188,1033771133180.69,0.0345474817654173
0.018,0.25,35,2324277.28692,5.22578425059188,1033771133180.69,0.0345474817654173
0.018,0.25,40,2324277.28692,5.22578425059188,1033771133180.69,0.0345474817654174
0.018,0.25,45,2324277.28692,5.22578425059188,1033771133180.69,0.0345474817654173
0.018,0.25,50,2324277.28692,5.22578425059188,1033771133180.69,0.0345474817654173
0.018,0.3,5,2813599.921176,5.2257862939672,1514861892760.61,0.050625
0.018,0.3,10,2813599.921176,5.2257862939672,1514861892760.61,0.050625
0.018,0.3,15,2813599.921176,5.2257862939672,1514861892760.61,0.050625
0.018,0.3,20,2813599.921176,5.2257862939672,1514861892760.61,0.050625
0.018,0.3,25,2813599.921176,5.2257862939672,1514861892760.61,0.050625
0.018,0.3,30,2813599.921176,5.2257862939672,1514861892760.61,0.050625
0.018,0.3,35,2813599.921176,5.2257862939672,1514861892760.61,0.050625
0.018,0.3,40,2813599.921176,5.2257862939672,1514861892760.61,0.050625
0.018,0.3,45,2813599.921176,5.2257862939672,1514861892760.61,0.050625
0.018,0.3,50,2813599.921176,5.2257862939672,1514861892760.61,0.050625
0.019,0.05,5,545196.248315,5.82250681698278,51049995907.2233,0.00170603409799522
0.019,0.05,10,545196.248315,5.82250681698278,51049995907.2233,0.00170603409799523
0.019,0.05,15,545196.248315,5.82250681698278,51049995907.2233,0.00170603409799522
0.019,0.05,20,545196.248315,5.82250681698278,51049995907.2233,0.00170603409799522
0.019,0.05,25,545196.248315,5.82250681698278,51049995907.2233,0.00170603409799522
0.019,0.05,30,545196.248315,5.82250681698278,51049995907.2233,0.00170603409799522
0.019,0.05,35,545196.248315,5.82250681698278,51049995907.2233,0.00170603409799522
0.019,0.05,40,545196.248315,5.82250681698278,51049995907.2233,0.00170603409799522
0.019,0.05,45,545196.248315,5.82250681698278,51049995907.2233,0.00170603409799522
0.019,0.05,50,545196.248315,5.82250681698278,51049995907.2233,0.00170603409799522
0.019,0.08,5,817797.283757,5.82252754465519,114862899692.806,0.00383859038552448
0.019,0.08,10,817797.283757,5.82252754465519,114862899692.806,0.00383859038552448
0.019,0.08,15,817797.283757,5.82252754465519,114862899692.806,0.00383859038552448
0.019,0.08,20,817797.283757,5.82252754465519,114862899692.806,0.00383859038552448
0.019,0.08,25,817797.283757,5.82252754465519,114862899692.806,0.00383859038552448
0.019,0.08,30,817797.283757,5.82252754465519,114862899692.806,0.00383859038552448
0.019,0.08,35,817797.283757,5.82252754465519,114862899692.806,0.00383859038552448
0.019,0.08,40,817797.283757,5.82252754465519,114862899692.806,0.00383859038552448
0.019,0.08,45,817797.283757,5.82252754465519,114862899692.806,0.00383859038552448
0.019,0.08,50,817797.283757,5.82252754465519,114862899692.806,0.00383859038552448
0.019,0.09,5,954097.801478,5.8225334668473,156341328043.589,0.00522475333892202
0.019,0.09,10,954097.801478,5.8225334668473,156341328043.589,0.00522475333892202
0.019,0.09,15,954097.801478,5.82253346684731,156341328043.589,0.00522475333892202
0.019,0.09,20,954097.801478,5.82253346684731,156341328043.59,0.00522475333892203
0.019,0.09,25,954097.801478,5.8225334668473,156341328043.589,0.00522475333892202
0.019,0.09,30,954097.801478,5.82253346684731,156341328043.589,0.00522475333892202
0.019,0.09,35,954097.801478,5.82253346684731,156341328043.59,0.00522475333892203
0.019,0.09,40,954097.801478,5.8225334668473,156341328043.589,0.00522475333892202
0.019,0.09,45,954097.801478,5.82253346684731,156341328043.589,0.00522475333892202
0.019,0.09,50,954097.801478,5.82253346684731,156341328043.589,0.00522475333892202
0.019,0.1,5,1090398.319199,5.82253790849139,204201074033.035,0.00682417283207484
0.019,0.1,10,1090398.319199,5.82253790849139,204201074033.035,0.00682417283207484
0.019,0.1,15,1090398.319199,5.82253790849139,204201074033.035,0.00682417283207484
0.019,0.1,20,1090398.319199,5.82253790849139,204201074033.035,0.00682417283207484
0.019,0.1,25,1090398.319199,5.82253790849139,204201074033.035,0.00682417283207484
0.019,0.1,30,1090398.319199,5.82253790849139,204201074033.035,0.00682417283207484
0.019,0.1,35,1090398.319199,5.82253790849139,204201074033.035,0.00682417283207484
0.019,0.1,40,1090398.319199,5.82253790849139,204201074033.035,0.00682417283207484
0.019,0.1,45,1090398.319199,5.82253790849139,204201074033.035,0.00682417283207484
0.019,0.1,50,1090398.319199,5.82253790849139,204201074033.035,0.00682417283207484
0.019,0.12,5,1226698.83692,5.82254136310346,258442137661.142,0.00863684886498292
0.019,0.12,10,1226698.83692,5.82254136310346,258442137661.142,0.00863684886498293
0.019,0.12,15,1226698.83692,5.82254136310346,258442137661.142,0.00863684886498293
0.019,0.12,20,1226698.83692,5.82254136310346,258442137661.142,0.00863684886498293
0.019,0.12,25,1226698.83692,5.82254136310346,258442137661.142,0.00863684886498293
0.019,0.12,30,1226698.83692,5.82254136310346,258442137661.142,0.00863684886498293
0.019,0.12,35,1226698.83692,5.82254136310346,258442137661.142,0.00863684886498293
0.019,0.12,40,1226698.83692,5.82254136310346,258442137661.142,0.00863684886498292
0.019,0.12,45,1226698.83692,5.82254136310346,258442137661.142,0.00863684886498292
0.019,0.12,50,1226698.83692,5.82254136310346,258442137661.142,0.00863684886498293
0.019,0.15,5,1635600.390083,5.8225482723276,459453234377.435,0.0153544162022388
0.019,0.15,10,1635600.390083,5.8225482723276,459453234377.435,0.0153544162022388
0.019,0.15,15,1635600.390083,5.82254827232759,459453234377.435,0.0153544162022388
0.019,0.15,20,1635600.390083,5.82254827232759,459453234377.435,0.0153544162022388
0.019,0.15,25,1635600.390083,5.82254827232759,459453234377.435,0.0153544162022388
0.019,0.15,30,1635600.390083,5.8225482723276,459453234377.435,0.0153544162022388
0.019,0.15,35,1635600.390083,5.8225482723276,459453234377.435,0.0153544162022388
0.019,0.15,40,1635600.390083,5.82254827232759,459453234377.435,0.0153544162022388
0.019,0.15,45,1635600.390083,5.8225482723276,459453234377.435,0.0153544162022388
0.019,0.15,50,1635600.390083,5.82254827232759,459453234377.435,0.0153544162022388
0.019,0.18,5,1908201.425525,5.82255123342365,625367220381.606,0.0208990771258525
0.019,0.18,10,1908201.425525,5.82255123342365,625367220381.606,0.0208990771258525
0.019,0.18,15,1908201.425525,5.82255123342365,625367220381.606,0.0208990771258525
0.019,0.18,20,1908201.425525,5.82255123342365,625367220381.606,0.0208990771258525
0.019,0.18,25,1908201.425525,5.82255123342365,625367220381.606,0.0208990771258525
0.019,0.18,30,1908201.425525,5.82255123342365,625367220381.606,0.0208990771258525
0.019,0.18,35,1908201.425525,5.82255123342365,625367220381.606,0.0208990771258525
0.019,0.18,40,1908201.425525,5.82255123342365,625367220381.606,0.0208990771258525
0.019,0.18,45,1908201.425525,5.82255123342365,625367220381.606,0.0208990771258525
0.019,0.18,50,1908201.425525,5.82255123342365,625367220381.606,0.0208990771258525
0.019,0.2,5,2044501.943246,5.82255241786207,717896189841.683,0.0239912923972922
0.019,0.2,10,2044501.943246,5.82255241786208,717896189841.684,0.0239912923972922
0.019,0.2,15,2044501.943246,5.82255241786208,717896189841.684,0.0239912923972922
0.019,0.2,20,2044501.943246,5.82255241786208,717896189841.684,0.0239912923972922
0.019,0.2,25,2044501.943246,5.82255241786208,717896189841.684,0.0239912923972922
0.019,0.2,30,2044501.943246,5.82255241786208,717896189841.683,0.0239912923972922
0.019,0.2,35,2044501.943246,5.82255241786208,717896189841.684,0.0239912923972922
0.019,0.2,40,2044501.943246,5.82255241786208,717896189841.684,0.0239912923972922
0.019,0.2,45,2044501.943246,5.82255241786208,717896189841.684,0.0239912923972922
0.019,0.2,50,2044501.943246,5.82255241786208,717896189841.684,0.0239912923972922
0.019,0.25,5,2589704.01413,5.82255590883848,1151825244068.61,0.0384927188806039
0.019,0.25,10,2589704.01413,5.82255590883848,1151825244068.61,0.0384927188806039
0.019,0.25,15,2589704.01413,5.82255590883848,1151825244068.61,0.0384927188806039
0.019,0.25,20,2589704.01413,5.82255590883848,1151825244068.61,0.0384927188806039
0.019,0.25,25,2589704.01413,5.82255590883848,1151825244068.61,0.0384927188806039
0.019,0.25,30,2589704.01413,5.82255590883848,1151825244068.61,0.0384927188806039
0.019,0.25,35,2589704.01413,5.82255590883848,1151825244068.61,0.0384927188806039
0.019,0.25,40,2589704.01413,5.82255590883848,1151825244068.61,0.0384927188806039
0.019,0.25,45,2589704.01413,5.82255590883848,1151825244068.61,0.0384927188806039
0.019,0.25,50,2589704.01413,5.82255590883848,1151825244068.61,0.0384927188806039
0.019,0.3,5,3134906.085014,5.82255818556222,1687855380514.13,0.05640625
0.019,0.3,10,3134906.085014,5.82255818556222,1687855380514.13,0.05640625
0.019,0.3,15,3134906.085014,5.82255818556222,1687855380514.13,0.05640625
0.019,0.3,20,3134906.085014,5.82255818556222,1687855380514.13,0.05640625
0.019,0.3,25,3134906.085014,5.82255818556222,1687855380514.13,0.05640625
0.019,0.3,30,3134906.085014,5.82255818556222,1687855380514.13,0.05640625
0.019,0.3,35,3134906.085014,5.82255818556222,1687855380514.13,0.05640625
0.019,0.3,40,3134906.085014,5.82255818556222,1687855380514.13,0.05640625
0.019,0.3,45,3134906.085014,5.82255818556222,1687855380514.13,0.05640625
0.019,0.3,50,3134906.085014,5.82255818556222,1687855380514.13,0.05640625
0.02,0.05,5,604095.566,6.4515310991499,56565092417.976,0.00189034249085343
0.02,0.05,10,604095.566,6.4515310991499,56565092417.976,0.00189034249085344
0.02,0.05,15,604095.566,6.4515310991499,56565092417.976,0.00189034249085343
0.02,0.05,20,604095.566,6.4515310991499,56565092417.976,0.00189034249085344
0.02,0.05,25,604095.566,6.4515310991499,56565092417.976,0.00189034249085343
0.02,0.05,30,604095.566,6.4515310991499,56565092417.976,0.00189034249085343
0.02,0.05,35,604095.566,6.4515310991499,56565092417.976,0.00189034249085344
0.02,0.05,40,604095.566,6.4515310991499,56565092417.976,0.00189034249085343
0.02,0.05,45,604095.566,6.4515310991499,56565092417.976,0.00189034249085343
0.02,0.05,50,604095.566,6.4515310991499,56565092417.976,0.00189034249085343
0.02,0.08,5,906146.5748,6.45155406609993,127271911016.959,0.0042532857457335
0.02,0.08,10,906146.5748,6.45155406609993,127271911016.959,0.0042532857457335
0.02,0.08,15,906146.5748,6.45155406609993,127271911016.959,0.0042532857457335
0.02,0.08,20,906146.5748,6.45155406609994,127271911016.959,0.0042532857457335
0.02,0.08,25,906146.5748,6.45155406609993,127271911016.959,0.0042532857457335
0.02,0.08,30,906146.5748,6.45155406609993,127271911016.959,0.0042532857457335
0.02,0.08,35,906146.5748,6.45155406609993,127271911016.959,0.0042532857457335
0.02,0.08,40,906146.5748,6.45155406609993,127271911016.959,0.0042532857457335
0.02,0.08,45,906146.5748,6.45155406609993,127271911016.959,0.0042532857457335
0.02,0.08,50,906146.5748,6.45155406609993,127271911016.959,0.0042532857457335
0.02,0.09,5,1057172.0792,6.45156062808566,173231388413.95,0.00578920037553687
0.02,0.09,10,1057172.0792,6.45156062808566,173231388413.95,0.00578920037553687
0.02,0.09,15,1057172.0792,6.45156062808566,173231388413.95,0.00578920037553687
0.02,0.09,20,1057172.0792,6.45156062808566,173231388413.95,0.00578920037553687
0.02,0.09,25,1057172.0792,6.45156062808566,173231388413.95,0.00578920037553687
0.02,0.09,30,1057172.0792,6.45156062808566,173231388413.949,0.00578920037553687
0.02,0.09,35,1057172.0792,6.45156062808566,173231388413.949,0.00578920037553687
